Unnamed: 0,age,education.num,marital.status,occupation,sex,hours.per.week,income,workclass,index,model_prediction,meta_prediction
346,43,10,Married,Craft Repair,Male,40,1,Government Sector,318,0,0
2636,37,14,Married,Professional Specialty,Male,40,0,Self-employed,2462,1,1
1361,48,9,Divorced,Craft Repair,Male,40,0,Private Sector,1258,0,0
1374,46,13,Married,Administrative Clerical,Male,40,1,Private Sector,1270,1,1
160,43,14,Married,Professional Specialty,Male,40,1,Government Sector,142,1,1
1446,34,9,Never Married,Sales,Female,35,0,Private Sector,1334,0,0
634,54,9,Never Married,Administrative Clerical,Female,20,0,Government Sector,590,0,0
1620,38,12,Never Married,Professional Specialty,Female,36,0,Private Sector,1498,1,1
2072,37,9,Married,Craft Repair,Male,40,0,Self-employed,1926,0,0
2151,44,13,Married,Sales,Male,30,0,Self-employed,2001,0,0
2985,28,15,Never Married,Professional Specialty,Male,40,0,Self-employed,2787,0,0
2483,26,9,Married,Craft Repair,Male,40,0,Self-employed,2316,0,0
1698,39,10,Divorced,Administrative Clerical,Female,45,0,Private Sector,1572,0,0
2592,47,15,Never Married,Professional Specialty,Male,40,1,Self-employed,2420,1,1
2513,55,9,Divorced,Sales,Female,50,1,Self-employed,2344,0,0
403,30,14,Married,Professional Specialty,Male,17,0,Government Sector,372,0,0
1118,22,13,Never Married,Professional Specialty,Male,40,0,Private Sector,1036,0,0
495,54,14,Never Married,Professional Specialty,Female,45,1,Government Sector,460,0,1
889,46,14,Divorced,Professional Specialty,Female,55,1,Government Sector,825,0,1
2799,50,10,Married,Sales,Male,60,1,Self-employed,2613,0,1
1674,39,11,Married,Craft Repair,Male,48,0,Private Sector,1550,0,0
1478,33,11,Married,Professional Specialty,Male,40,1,Private Sector,1364,0,1
713,68,16,Married,Professional Specialty,Male,60,1,Government Sector,660,0,1
1810,36,4,Married,Craft Repair,Male,40,0,Private Sector,1677,0,0
2896,26,9,Married,Craft Repair,Male,50,0,Self-employed,2704,0,0
1920,62,9,Married,Sales,Male,16,0,Private Sector,1783,0,0
799,38,10,Married,Craft Repair,Male,45,0,Government Sector,744,0,0
954,57,16,Divorced,Professional Specialty,Male,60,1,Government Sector,882,0,0
2691,52,11,Divorced,Professional Specialty,Female,35,0,Self-employed,2513,0,0
1037,46,9,Married,Administrative Clerical,Male,58,1,Private Sector,960,1,1
342,26,13,Never Married,Professional Specialty,Female,40,0,Government Sector,314,0,0
1183,23,10,Never Married,Sales,Male,25,0,Private Sector,1095,0,0
2822,44,15,Married,Professional Specialty,Male,32,1,Self-employed,2634,1,1
2826,62,15,Married,Professional Specialty,Male,15,1,Self-employed,2638,0,0
1074,37,14,Never Married,Professional Specialty,Male,40,0,Private Sector,995,1,1
2973,42,13,Married,Sales,Male,48,0,Self-employed,2776,1,1
781,57,16,Married,Professional Specialty,Male,40,1,Government Sector,726,0,0
2582,50,16,Divorced,Sales,Male,64,0,Self-employed,2412,1,1
1652,18,10,Never Married,Sales,Female,21,0,Private Sector,1528,0,0
2263,18,7,Never Married,Sales,Male,15,0,Self-employed,2105,0,0
2945,62,9,Married,Sales,Female,48,0,Self-employed,2749,1,1
1522,24,13,Never Married,Sales,Female,40,0,Private Sector,1406,0,0
806,41,9,Married,Administrative Clerical,Male,40,0,Government Sector,751,0,0
1237,25,10,Never Married,Professional Specialty,Female,8,0,Private Sector,1143,0,0
2367,52,10,Married,Sales,Male,90,1,Self-employed,2204,0,0
2711,36,9,Married,Professional Specialty,Female,40,0,Self-employed,2531,1,1
848,44,14,Never Married,Professional Specialty,Female,40,0,Government Sector,788,0,0
617,34,16,Married,Professional Specialty,Female,50,1,Government Sector,575,1,1
445,30,6,Married,Craft Repair,Male,40,0,Government Sector,412,0,0
2808,52,10,Married,Sales,Male,45,0,Self-employed,2621,0,0
826,41,16,Married,Professional Specialty,Male,40,1,Government Sector,769,1,1
2927,30,13,Never Married,Sales,Male,40,0,Self-employed,2733,1,1
2180,41,10,Married,Sales,Male,60,1,Self-employed,2028,1,1
2047,32,9,Divorced,Craft Repair,Male,40,0,Self-employed,1903,0,0
1171,30,9,Married,Craft Repair,Male,40,0,Private Sector,1083,1,1
271,33,9,Divorced,Administrative Clerical,Male,40,0,Government Sector,248,0,0
2991,27,9,Never Married,Sales,Male,50,0,Self-employed,2793,0,0
1177,41,9,Never Married,Sales,Male,50,0,Private Sector,1089,0,0
417,30,12,Never Married,Professional Specialty,Female,40,0,Government Sector,385,1,1
415,44,14,Married,Professional Specialty,Male,35,1,Government Sector,383,1,1
2544,32,9,Divorced,Sales,Male,62,0,Self-employed,2374,0,0
514,64,13,Married,Craft Repair,Male,45,1,Government Sector,477,0,0
1122,38,10,Married,Craft Repair,Male,40,1,Private Sector,1040,0,0
1383,31,7,Married,Craft Repair,Male,40,0,Private Sector,1278,0,0
670,39,13,Never Married,Administrative Clerical,Male,40,0,Government Sector,623,0,0
1448,36,9,Married,Craft Repair,Female,40,0,Private Sector,1336,1,1
1036,50,9,Married,Craft Repair,Male,50,1,Private Sector,959,1,1
1858,42,10,Married,Sales,Male,50,1,Private Sector,1725,0,0
352,59,12,Divorced,Professional Specialty,Female,50,0,Government Sector,324,0,0
2251,46,15,Married,Professional Specialty,Male,40,1,Self-employed,2094,1,1
396,51,12,Married,Professional Specialty,Male,60,0,Government Sector,365,0,0
987,47,10,Divorced,Professional Specialty,Male,20,0,Government Sector,912,0,0
853,35,13,Married,Professional Specialty,Male,40,0,Government Sector,793,0,0
871,37,13,Never Married,Professional Specialty,Male,40,0,Government Sector,810,0,0
2754,34,4,Never Married,Craft Repair,Male,40,0,Self-employed,2571,0,0
1450,56,5,Divorced,Craft Repair,Male,40,0,Private Sector,1338,0,0
653,41,13,Married,Administrative Clerical,Male,50,1,Government Sector,609,1,1
338,18,10,Never Married,Administrative Clerical,Male,10,0,Government Sector,310,0,0
292,24,13,Married,Professional Specialty,Female,40,0,Government Sector,267,1,1
1744,19,13,Never Married,Professional Specialty,Female,30,0,Private Sector,1616,0,0
2295,35,13,Married,Sales,Male,60,0,Self-employed,2136,1,1
1512,41,13,Married,Sales,Male,50,1,Private Sector,1396,1,1
